step,pid,tickets,ticks
0,4,30,79
0,5,20,75
0,6,10,12
1,4,30,138
1,5,20,100
1,6,10,28
2,4,30,215
2,5,20,156
2,6,10,48
3,4,30,299
3,5,20,201
3,6,10,70
4,4,30,374
4,5,20,239
4,6,10,81
5,4,30,508
5,5,20,323
5,6,10,124
6,4,30,566
6,5,20,360
6,6,10,150
7,4,30,633
7,5,20,399
7,6,10,174
8,4,30,691
8,5,20,427
8,6,10,195
9,4,30,834
9,5,20,517
9,6,10,226
10,4,30,942
10,5,20,579
10,6,10,263
11,4,30,1087
11,5,20,672
11,6,10,304
12,4,30,1197
12,5,20,743
12,6,10,342
13,4,30,1291
13,5,20,814
13,6,10,366
14,4,30,1368
14,5,20,862
14,6,10,392
15,4,30,1538
15,5,20,1009
15,6,10,458
16,4,30,1606
16,5,20,1064
16,6,10,476
17,4,30,1671
17,5,20,1106
17,6,10,499
18,4,30,1727
18,5,20,1143
18,6,10,520
19,4,30,1792
19,5,20,1193
19,6,10,542
20,4,30,1876
20,5,20,1269
20,6,10,564
21,4,30,1967
21,5,20,1333
21,6,10,603
22,4,30,2031
22,5,20,1371
22,6,10,628
23,4,30,2147
23,5,20,1462
23,6,10,664
24,4,30,2219
24,5,20,1505
24,6,10,681
25,4,30,2321
25,5,20,1557
25,6,10,717
26,4,30,2396
26,5,20,1612
26,6,10,735
27,4,30,2454
27,5,20,1648
27,6,10,750
28,4,30,2519
28,5,20,1689
28,6,10,767
29,4,30,2584
29,5,20,1735
29,6,10,792
30,4,30,2639
30,5,20,1771
30,6,10,807
31,4,30,2692
31,5,20,1805
31,6,10,828
32,4,30,2835
32,5,20,1890
32,6,10,874
33,4,30,2898
33,5,20,1940
33,6,10,891
34,4,30,2950
34,5,20,1983
34,6,10,908
35,4,30,3037
35,5,20,2023
35,6,10,936
36,4,30,3126
36,5,20,2073
36,6,10,972
37,4,30,3192
37,5,20,2117
37,6,10,989
38,4,30,3297
38,5,20,2180
38,6,10,1022
39,4,30,3355
39,5,20,2203
39,6,10,1044
40,4,30,3496
40,5,20,2300
40,6,10,1084
41,4,30,3601
41,5,20,2380
41,6,10,1135
42,4,30,3717
42,5,20,2456
42,6,10,1157
43,4,30,3788
43,5,20,2505
43,6,10,1186
44,4,30,3854
44,5,20,2537
44,6,10,1198
45,4,30,3989
45,5,20,2625
45,6,10,1246
46,4,30,4058
46,5,20,2683
46,6,10,1271
47,4,30,4175
47,5,20,2746
47,6,10,1306
48,4,30,4264
48,5,20,2817
48,6,10,1339
49,4,30,4327
49,5,20,2861
49,6,10,1358
50,4,30,4384
50,5,20,2907
50,6,10,1381
51,4,30,4452
51,5,20,2957
51,6,10,1407
52,4,30,4600
52,5,20,3044
52,6,10,1455
53,4,30,4655
53,5,20,3085
53,6,10,1471
54,4,30,4718
54,5,20,3127
54,6,10,1492
55,4,30,4813
55,5,20,3182
55,6,10,1534
56,4,30,4889
56,5,20,3228
56,6,10,1554
57,4,30,4954
57,5,20,3262
57,6,10,1573
58,4,30,5057
58,5,20,3334
58,6,10,1611
59,4,30,5108
59,5,20,3370
59,6,10,1630
60,4,30,5165
60,5,20,3406
60,6,10,1637
61,4,30,5233
61,5,20,3442
61,6,10,1659
62,4,30,5295
62,5,20,3478
62,6,10,1675
63,4,30,5380
63,5,20,3543
63,6,10,1694
64,4,30,5445
64,5,20,3579
64,6,10,1712
65,4,30,5497
65,5,20,3623
65,6,10,1731
66,4,30,5556
66,5,20,3669
66,6,10,1756
67,4,30,5615
67,5,20,3701
67,6,10,1773
68,4,30,5689
68,5,20,3745
68,6,10,1789
69,4,30,5748
69,5,20,3783
69,6,10,1804
70,4,30,5799
70,5,20,3815
70,6,10,1822
71,4,30,5900
71,5,20,3875
71,6,10,1847
72,4,30,6021
72,5,20,3952
72,6,10,1887
73,4,30,6070
73,5,20,3984
73,6,10,1911
74,4,30,6128
74,5,20,4016
74,6,10,1923
75,4,30,6181
75,5,20,4053
75,6,10,1934
76,4,30,6248
76,5,20,4095
76,6,10,1969
77,4,30,6290
77,5,20,4137
77,6,10,1985
78,4,30,6376
78,5,20,4184
78,6,10,2004
79,4,30,6429
79,5,20,4218
79,6,10,2025
80,4,30,6509
80,5,20,4255
80,6,10,2049
81,4,30,6557
81,5,20,4293
81,6,10,2071
82,4,30,6617
82,5,20,4338
82,6,10,2089
83,4,30,6708
83,5,20,4422
83,6,10,2137
84,4,30,6807
84,5,20,4473
84,6,10,2157
85,4,30,6881
85,5,20,4520
85,6,10,2181
86,4,30,6933
86,5,20,4564
86,6,10,2203
87,4,30,7039
87,5,20,4643
87,6,10,2230
88,4,30,7095
88,5,20,4671
88,6,10,2250
89,4,30,7148
89,5,20,4711
89,6,10,2273
90,4,30,7204
90,5,20,4760
90,6,10,2294
91,4,30,7348
91,5,20,4873
91,6,10,2338
92,4,30,7482
92,5,20,4961
92,6,10,2382
93,4,30,7571
93,5,20,5016
93,6,10,2421
94,4,30,7693
94,5,20,5102
94,6,10,2466
95,4,30,7796
95,5,20,5176
95,6,10,2499
96,4,30,7863
96,5,20,5213
96,6,10,2526
97,4,30,7951
97,5,20,5261
97,6,10,2555
98,4,30,8019
98,5,20,5323
98,6,10,2586
99,4,30,8086
99,5,20,5364
99,6,10,2613